_IDOBJ;NOM_COMPLET;THEME;LIBTHEME;CATEGORIE;LIBCATEGORIE;TYPE;LIBTYPE;STATUT;COMMUNE;ADRESSE;TELEPHONE;WEB;CODE_POSTAL;LONG_WGS84;LAT_WGS84
3561,000000000000000;Parking relais Gare de Basse-Indre - Saint-Herblain;10,000000000000000;DEPLACEMENT;1002,000000000000000;Parking relais;;;;ST-HERBLAIN;Rue de la Gare;;;44800;-1,661038096461;47,204157974131
3560,000000000000000;Parking relaisTrentemoult Roquios;10,000000000000000;DEPLACEMENT;1002,000000000000000;Parking relais;;;;REZE;Quai Surcouf;;;44400;-1,577783932063;47,195252511278
3558,000000000000000;Parking relais tram Neustrie;10,000000000000000;DEPLACEMENT;1002,000000000000000;Parking relais;;;;BOUGUENAIS;Rue de la Neustrie;;;44340;-1,593399696482;47,176672451111
3556,000000000000000;Parking relais TER Gare de Couëron;10,000000000000000;DEPLACEMENT;1002,000000000000000;Parking relais;;;;COUERON;Rue de la Gare;;;44220;-1,723637369742;47,221777198052
3555,000000000000000;Parking enclos Gare Sud 3;10,000000000000000;DEPLACEMENT;1001,000000000000000;Parking;;;;NANTES;Rue Marcel Paul;;;44000;-1,537894828349;47,216135859474
3554,000000000000000;Parking enclos Château;10,000000000000000;DEPLACEMENT;1001,000000000000000;Parking;;;;NANTES;Rue Henri IV;;;44000;-1,547850449685;47,216989960979
3553,000000000000000;Gare St-Sébastien Pas Enchantés;10,000000000000000;DEPLACEMENT;1004,000000000000000;Transport en commun;100403,000000000000000;Rail;;ST-SEBASTIEN;Rue du Docteur Paul Michaux;;;44230;-1,511113063513;47,207008774038
3552,000000000000000;Parking relais TER Gare des Pas Enchantés;10,000000000000000;DEPLACEMENT;1002,000000000000000;Parking relais;;;;ST-SEBASTIEN;Rue de la Loire;;;44230;-1,512996443075;47,208229054565
3551,000000000000000;Parking enclos Baco-LU;10,000000000000000;DEPLACEMENT;1001,000000000000000;Parking;;;;NANTES;Allée Baco;;;44000;-1,549872883022;47,213855249030
3550,000000000000000;Parking enclos Hôtel Dieu;10,000000000000000;DEPLACEMENT;1001,000000000000000;Parking;;;;NANTES;Chaussée de la Madeleine;;;44000;-1,551983112304;47,211057086029
3549,000000000000000;Parking enclos Feydeau;10,000000000000000;DEPLACEMENT;1001,000000000000000;Parking;;;;NANTES;Allée de l'Ile Gloriette;;;44000;-1,558438729504;47,211179655323
3322,000000000000000;Gare Routière (Bus);10,000000000000000;DEPLACEMENT;1004,000000000000000;Transport en commun;100404,000000000000000;Route;;VERTOU;Rue de l'Hôpital;;;44120;-1,471194831325;47,168915124835
3227,000000000000000;Parking relais tram Plaisance;10,000000000000000;DEPLACEMENT;1002,000000000000000;Parking relais;;;;ST-HERBLAIN;Route de Vannes;;;44800;-1,593440523965;47,240532662020
3202,000000000000000;Parking relais TER Gare de Vertou Sud;10,000000000000000;DEPLACEMENT;1002,000000000000000;Parking relais;;;;VERTOU;Rue du Bois Rigaud;;;44120;-1,478608569977;47,185749806742
3201,000000000000000;Parking relais TER Gare de Vertou Nord;10,000000000000000;DEPLACEMENT;1002,000000000000000;Parking relais;;;;VERTOU;Impasse de la Gare;;;44120;-1,479161854583;47,186402376370
3200,000000000000000;Parc relais TER Frêne Rond;10,000000000000000;DEPLACEMENT;1002,000000000000000;Parking relais;;;;ST-SEBASTIEN;Rue de l'Ouche Quinet;;;44230;-1,496218308948;47,190549257522
3198,000000000000000;Parking relais tram Goudy;10,000000000000000;DEPLACEMENT;1002,000000000000000;Parking relais;;;;NANTES;Rue Gabriel Goudy;;www.tan.fr;44200;-1,541047746943;47,196098946737
3197,000000000000000;Parking relais tram Pirmil;10,000000000000000;DEPLACEMENT;1002,000000000000000;Parking relais;;;;NANTES;Rue Esnoult des Châtelets;;www.tan.fr;44200;-1,541533594554;47,197358677638
3196,000000000000000;Parking relais tram René Cassin;10,000000000000000;DEPLACEMENT;1002,000000000000000;Parking relais;;;;NANTES;Route de la Chapelle Sur Erdre;;www.tan.fr;44300;-1,574997907503;47,263950926010
3195,000000000000000;Parking relais tram Trocardière;10,000000000000000;DEPLACEMENT;1002,000000000000000;Parking relais;;;;REZE;Avenue Léon Blum;;www.tan.fr;44400;-1,571095589405;47,183292745883
3194,000000000000000;Parking relais tram 8 Mai;10,000000000000000;DEPLACEMENT;1002,000000000000000;Parking relais;;;;REZE;Avenue André Malraux;;www.tan.fr;44400;-1,551691451981;47,190177914121
3192,000000000000000;Parking relais tram La Beaujoire;10,000000000000000;DEPLACEMENT;1002,000000000000000;Parking relais;;;;NANTES;Rue Colette;;www.tan.fr;44300;-1,527398470576;47,259483303650
3191,000000000000000;Parking relais tram Recteur Schmitt;10,000000000000000;DEPLACEMENT;1002,000000000000000;Parking relais;;;;NANTES;Rue Recteur Schmitt;;www.tan.fr;44300;-1,552470384647;47,252027701738
